id,dist1,dist2,dist3,timeSent,created_at,updated_at,macAddr,beac1,beac2,beac3
217,0.969822386,2.358854922,4.822860955,2014-09-21T22:33:51.000Z,2014-09-21T02:33:50.394Z,2014-09-21T02:33:50.394Z,,54317,12284,2467
218,1.025594111,2.572620586,3.639846146,2014-09-21T22:33:52.000Z,2014-09-21T02:33:51.367Z,2014-09-21T02:33:51.367Z,,54317,12284,2467
219,1.475187927,2.572620586,3.000414076,2014-09-21T22:33:53.000Z,2014-09-21T02:33:52.360Z,2014-09-21T02:33:52.360Z,,54317,12284,2467
220,1.968227533,3.030299258,3.12097227,2014-09-21T22:33:54.000Z,2014-09-21T02:33:53.340Z,2014-09-21T02:33:53.340Z,,54317,2467,12284
221,2.265373456,2.302971468,2.802250125,2014-09-21T22:33:55.000Z,2014-09-21T02:33:54.380Z,2014-09-21T02:33:54.380Z,,54317,12284,2467
222,2.147551915,2.234470589,2.259163122,2014-09-21T22:33:56.000Z,2014-09-21T02:33:55.377Z,2014-09-21T02:33:55.377Z,,2467,54317,12284
223,1.695375094,1.789905856,2.817690344,2014-09-21T22:33:57.000Z,2014-09-21T02:33:56.366Z,2014-09-21T02:33:56.366Z,,12284,2467,54317
224,1.687961024,2.23775635,3.33101854,2014-09-21T22:33:58.000Z,2014-09-21T02:33:57.367Z,2014-09-21T02:33:57.367Z,,12284,2467,54317
225,1.682526727,2.065939782,3.827539875,2014-09-21T22:33:59.000Z,2014-09-21T02:33:58.356Z,2014-09-21T02:33:58.356Z,,12284,2467,54317
226,1.682526727,2.259514541,4.618961932,2014-09-21T22:34:00.000Z,2014-09-21T02:33:59.383Z,2014-09-21T02:33:59.383Z,,12284,2467,54317
227,2.036840138,2.5845707,5.450280211,2014-09-21T22:34:01.000Z,2014-09-21T02:34:00.364Z,2014-09-21T02:34:00.364Z,,12284,2467,54317
228,2.188016872,2.780085063,6.247103003,2014-09-21T22:34:02.000Z,2014-09-21T02:34:01.383Z,2014-09-21T02:34:01.383Z,,2467,12284,54317
229,1.518703278,2.887434883,6.200500497,2014-09-21T22:34:03.000Z,2014-09-21T02:34:02.385Z,2014-09-21T02:34:02.385Z,,2467,12284,54317
230,1.14772213,1.914662696,5.121987516,2014-09-21T22:34:04.000Z,2014-09-21T02:34:03.352Z,2014-09-21T02:34:03.352Z,,2467,12284,54317
231,1.330147935,1.541098682,4.479725939,2014-09-21T22:34:05.000Z,2014-09-21T02:34:04.365Z,2014-09-21T02:34:04.365Z,,2467,12284,54317
232,1.318395791,1.992402608,4.479725939,2014-09-21T22:34:06.000Z,2014-09-21T02:34:05.339Z,2014-09-21T02:34:05.339Z,,2467,12284,54317
233,1.310193132,2.531710305,4.762323351,2014-09-21T22:34:07.000Z,2014-09-21T02:34:06.379Z,2014-09-21T02:34:06.379Z,,2467,12284,54317
234,1.252188489,3.145373356,5.137416519,2014-09-21T22:34:08.000Z,2014-09-21T02:34:07.377Z,2014-09-21T02:34:07.377Z,,2467,12284,54317
235,0.996044997,3.748368645,5.137416519,2014-09-21T22:34:09.000Z,2014-09-21T02:34:08.378Z,2014-09-21T02:34:08.378Z,,2467,12284,54317
236,0.254364288,3.817290778,5.426606689,2014-09-21T22:34:10.000Z,2014-09-21T02:34:09.419Z,2014-09-21T02:34:09.419Z,,2467,12284,54317
237,0.143113204,3.768135804,6.019302148,2014-09-21T22:34:11.000Z,2014-09-21T02:34:10.369Z,2014-09-21T02:34:10.369Z,,2467,12284,54317
238,0.286312816,4.44142195,6.019302148,2014-09-21T22:34:12.000Z,2014-09-21T02:34:11.365Z,2014-09-21T02:34:11.365Z,,2467,12284,54317
